naics,top1_code,top1_desc,top2_code,top2_desc,top3_code,top3_desc,candidate_count
111000,8006,Store — Grocery Retail,4511,Analytical Laboratories,0045,Farm,4
111219,8859,Computer Data Processing,0172,Farm,9082,Caterer — Full Service,5
111332,8810,Clerical Office Employees NOC,,,,,1
111339,8078,Ice Cream Stores,8006,Store — Grocery Retail,,,2
111411,0035,Bulb or Flower Farm,8017,Store Retail NOC,,,2
111419,0035,Bulb or Flower Farm,,,,,1
111421,0005,Farm,8742,Outside Sales,8018,Appliance Distributors,3
111422,8001,Store — Florist,0035-EM,Bulb or Flower Farm,8017,Store Retail NOC,4
111998,0005,Farm,8742,Outside Sales,8810,Clerical Office Employees NOC,8
112000,9061,Club NOC,,,,,1
112310,8810,Clerical Office Employees NOC,,,,,1
112519,0113,Aquaculture NOC,0019,Aquaculture NOC,8742,Outside Sales,6
112920,8742,Outside Sales,0951,Construction/Project Mgr (CGL),,,2
112990,8017,Store Retail NOC,8831,Pet Grooming / Veterinarian,8810,Clerical Office Employees NOC,4
114119,8810,Clerical Office Employees NOC,,,,,1
115000,8018,Appliance Distributors,,,,,1
115112,8742,Outside Sales,0042,Land and Garden Services,8018,Appliance Distributors,7
115114,8810,Clerical Office Employees NOC,,,,,1
115116,8810,Clerical Office Employees NOC,8859,Computer Data Processing,,,2
115310,8810,Clerical Office Employees NOC,0005,Farm,8742,Outside Sales,3
211130,8810,Clerical Office Employees NOC,9015-EM,Buildings NOC,,,2
212200,8601,Architectural / Engineering Firm,8810,Clerical Office Employees NOC,,,2
212210,0955,Analytical Laboratories,,,,,1
212311,8018,Appliance Distributors,8810,Clerical Office Employees NOC,,,2
212321,7219,Trucking NOC,,,,,1
213112,8810,Clerical Office Employees NOC,,,,,1
213114,8810,Clerical Office Employees NOC,,,,,1
221114,8810,Clerical Office Employees NOC,8601,Architectural / Engineering Firm,8603,Architectural/Engineering Firm,5
221118,4511,Analytical Laboratories,8810,Clerical Office Employees NOC,5190,Electrical Wiring,7
221121,8803,Accounting Services (traveling),8859,Computer Data Processing,,,2
221122,8810,Clerical Office Employees NOC,,,,,1
221210,8742,Outside Sales,,,,,1
221310,5188,Auto Sprinkler Installation,5183,Plumbing NOC,8601,Architectural / Engineering Firm,6
221320,8810,Clerical Office Employees NOC,8601,Architectural / Engineering Firm,,,2
236115,5645,Carpentry — Residential,5437,Drywall / Wallboard Installation,8601,Architectural / Engineering Firm,10
236116,8603,Architectural/Engineering Firm,5445,Drywall/Wallboard Installation,9015,Buildings NOC,3
236117,8603,Architectural/Engineering Firm,8810,Clerical Office Employees NOC,,,2
236118,8810,Clerical Office Employees NOC,5403,Carpentry NOC,8742,Outside Sales,6
236210,5645,Carpentry — Residential,5535,Awning Erection,8810,Clerical Office Employees NOC,4
236220,5429,Furniture/Fixtures Installation,8810,Clerical Office Employees NOC,0652,Manufactured/Prefabricated Home,10
237110,8810,Clerical Office Employees NOC,,,,,1
237130,8810,Clerical Office Employees NOC,0953,Computer System Designers,5190,Electrical Wiring,3
237210,8810,Clerical Office Employees NOC,,,,,1
237310,8742,Outside Sales,5201,Concrete or Cement Work,5221,Concrete or Cement Work,4
